pop,model,method,value,Type,Cutoff
Overall,1_c1,LR,0.3305070517125588,1,c1
Female,1_c1,LR,0.3318288499729193,1,c1
Non-German,1_c1,LR,0.23895773752780425,1,c1
Non-Ger. M,1_c1,LR,0.18405797101449275,1,c1
Non-Ger. F,1_c1,LR,0.28183361629881154,1,c1
Overall,1_c2,LR,0.3190850839484143,1,c2
Female,1_c2,LR,0.33545465671276464,1,c2
Non-German,1_c2,LR,0.20212509055783628,1,c2
Non-Ger. M,1_c2,LR,0.1529175050301811,1,c2
Non-Ger. F,1_c2,LR,0.27596618357487923,1,c2
Overall,1_c1,PLR,,1,c1
Female,1_c1,PLR,,1,c1
Non-German,1_c1,PLR,,1,c1
Non-Ger. M,1_c1,PLR,,1,c1
Non-Ger. F,1_c1,PLR,,1,c1
Overall,1_c2,PLR,,1,c2
Female,1_c2,PLR,,1,c2
Non-German,1_c2,PLR,,1,c2
Non-Ger. M,1_c2,PLR,,1,c2
Non-Ger. F,1_c2,PLR,,1,c2
Overall,1_c1,RF,,1,c1
Female,1_c1,RF,,1,c1
Non-German,1_c1,RF,,1,c1
Non-Ger. M,1_c1,RF,,1,c1
Non-Ger. F,1_c1,RF,,1,c1
Overall,1_c2,RF,,1,c2
Female,1_c2,RF,,1,c2
Non-German,1_c2,RF,,1,c2
Non-Ger. M,1_c2,RF,,1,c2
Non-Ger. F,1_c2,RF,,1,c2
Overall,1_c1,GBM,,1,c1
Female,1_c1,GBM,,1,c1
Non-German,1_c1,GBM,,1,c1
Non-Ger. M,1_c1,GBM,,1,c1
Non-Ger. F,1_c1,GBM,,1,c1
Overall,1_c2,GBM,,1,c2
Female,1_c2,GBM,,1,c2
Non-German,1_c2,GBM,,1,c2
Non-Ger. M,1_c2,GBM,,1,c2
Non-Ger. F,1_c2,GBM,,1,c2
